"x","y","cell","plots"
349000,1270000,8341,75
357000,1270000,8342,82
365000,1270000,8343,72
373000,1270000,8344,72
381000,1270000,8345,77
389000,1270000,8346,80
397000,1270000,8347,88
405000,1270000,8348,73
413000,1270000,8349,68
421000,1270000,8350,67
429000,1270000,8351,73
437000,1270000,8352,66
445000,1270000,8353,70
453000,1270000,8354,72
461000,1270000,8355,74
469000,1270000,8356,70
477000,1270000,8357,52
485000,1270000,8358,42
493000,1270000,8359,21
501000,1270000,8360,2
-27000,1262000,8590,7
-19000,1262000,8591,77
-11000,1262000,8592,81
-3000,1262000,8593,79
5000,1262000,8594,71
13000,1262000,8595,62
21000,1262000,8596,2
29000,1262000,8597,69
37000,1262000,8598,70
45000,1262000,8599,73
53000,1262000,8600,64
61000,1262000,8601,63
69000,1262000,8602,61
77000,1262000,8603,72
85000,1262000,8604,66
93000,1262000,8605,78
101000,1262000,8606,84
109000,1262000,8607,78
117000,1262000,8608,71
125000,1262000,8609,66
133000,1262000,8610,73
141000,1262000,8611,70
149000,1262000,8612,35
157000,1262000,8613,60
165000,1262000,8614,66
173000,1262000,8615,5
181000,1262000,8616,27
189000,1262000,8617,45
197000,1262000,8618,68
205000,1262000,8619,69
213000,1262000,8620,78
221000,1262000,8621,59
229000,1262000,8622,60
237000,1262000,8623,68
245000,1262000,8624,71
253000,1262000,8625,70
261000,1262000,8626,76
269000,1262000,8627,74
277000,1262000,8628,66
285000,1262000,8629,83
293000,1262000,8630,77
301000,1262000,8631,75
309000,1262000,8632,73
317000,1262000,8633,73
325000,1262000,8634,71
333000,1262000,8635,73
341000,1262000,8636,72
349000,1262000,8637,61
357000,1262000,8638,74
365000,1262000,8639,68
373000,1262000,8640,65
381000,1262000,8641,70
389000,1262000,8642,74
397000,1262000,8643,71
405000,1262000,8644,71
413000,1262000,8645,64
421000,1262000,8646,63
429000,1262000,8647,27
437000,1262000,8648,32
445000,1262000,8649,71
453000,1262000,8650,53
461000,1262000,8651,16
469000,1262000,8652,3
-27000,1254000,8886,7
-19000,1254000,8887,74
-11000,1254000,8888,74
-3000,1254000,8889,75
5000,1254000,8890,74
13000,1254000,8891,84
21000,1254000,8892,65
29000,1254000,8893,75
37000,1254000,8894,74
45000,1254000,8895,77
53000,1254000,8896,72
61000,1254000,8897,59
69000,1254000,8898,59
77000,1254000,8899,72
85000,1254000,8900,67
93000,1254000,8901,69
101000,1254000,8902,76
109000,1254000,8903,74
117000,1254000,8904,71
125000,1254000,8905,67
133000,1254000,8906,71
141000,1254000,8907,71
149000,1254000,8908,56
157000,1254000,8909,67
165000,1254000,8910,62
173000,1254000,8911,62
181000,1254000,8912,61
189000,1254000,8913,62
197000,1254000,8914,52
205000,1254000,8915,80
213000,1254000,8916,49
221000,1254000,8917,52
229000,1254000,8918,49
237000,1254000,8919,68
245000,1254000,8920,65
253000,1254000,8921,71
261000,1254000,8922,82
